Name,abb,book,aggressions,paragraphs,mentions,agg.per.mention,mentions.per.p,agg.weighted
Harry,harr,The Sorcerer's Stone,3,3015,1074,0.002793296,0.356218905,8.421787709
Hermione Granger,herm,The Sorcerer's Stone,3,3015,249,0.012048193,0.082587065,36.3253012
Voldemort,vold,The Sorcerer's Stone,0,3015,32,0,0.010613599,0
Ron Wealsey,ronw,The Sorcerer's Stone,2,3015,513,0.003898635,0.170149254,11.75438596
Severus Snape,snap,The Sorcerer's Stone,0,3015,148,0,0.049087894,0
Albus Dumbledore,albu,The Sorcerer's Stone,0,3015,143,0,0.047429519,0
Draco Malfoy,drac,The Sorcerer's Stone,1,3015,11,0.090909091,0.003648425,274.0909091
Neville Longbottom,nevi,The Sorcerer's Stone,0,3015,101,0,0.033499171,0
Minerva McGonagall,mcgo,The Sorcerer's Stone,0,3015,94,0,0.031177446,0
Vincent Crabbe ,crab,The Sorcerer's Stone,0,3015,21,0,0.006965174,0
Fred Weasley,fred,The Sorcerer's Stone,0,3015,34,0,0.011276949,0
George Weasley,geor,The Sorcerer's Stone,0,3015,29,0,0.009618574,0
Quirinus Quirrell,quir,The Sorcerer's Stone,5,3015,85,0.058823529,0.028192371,177.3529412
Filius Flitwick,flit,The Sorcerer's Stone,0,3015,17,0,0.005638474,0
Rubeus Hagrid,hagr,The Sorcerer's Stone,1,3015,329,0.003039514,0.109121061,9.164133739
Cho Chang,choc,The Sorcerer's Stone,0,3015,110,0,0.036484245,0
Peeves,peev,The Sorcerer's Stone,0,3015,31,0,0.010281924,0
Percy Weasley,perc,The Sorcerer's Stone,0,3015,37,0,0.012271973,0
Seamus Finnagin,seam,The Sorcerer's Stone,0,3015,17,0,0.005638474,0
Fluffy,fluf,The Sorcerer's Stone,1,3015,26,0.038461538,0.008623549,115.9615385
Greggory Goyle,goyl,The Sorcerer's Stone,0,3015,22,0,0.007296849,0
Lee Jordan,leej,The Sorcerer's Stone,0,3015,11,0,0.003648425,0
Madam Hooch,hooc,The Sorcerer's Stone,0,3015,12,0,0.0039801,0
Harry,harr,The Chamber of Secrets,4,3373,1333,0.00300075,0.395197154,10.12153038
Hermione Granger,herm,The Chamber of Secrets,0,3373,297,0,0.088052179,0
Voldemort,vold,The Chamber of Secrets,1,3373,31,0.032258065,0.009190631,108.8064516
Ron Wealsey,ronw,The Chamber of Secrets,1,3373,729,0.001371742,0.216128076,4.626886145
Severus Snape,snap,The Chamber of Secrets,2,3373,77,0.025974026,0.022828343,87.61038961
Albus Dumbledore,albu,The Chamber of Secrets,0,3373,141,0,0.04180255,0
Draco Malfoy,drac,The Chamber of Secrets,3,3373,32,0.09375,0.009487103,316.21875
Neville Longbottom,nevi,The Chamber of Secrets,0,3373,28,0,0.008301216,0
Basilisk,basi,The Chamber of Secrets,12,3373,24,0.5,0.007115328,1686.5
Minerva McGonagall,mcgo,The Chamber of Secrets,0,3373,80,0,0.023717759,0
Ginny Wealsey,ginn,The Chamber of Secrets,0,3373,101,0,0.02994367,0
Vincent Crabbe ,crab,The Chamber of Secrets,0,3373,30,0,0.00889416,0
Dobby,dobb,The Chamber of Secrets,3,3373,106,0.028301887,0.03142603,95.46226415
Fred Weasley,fred,The Chamber of Secrets,0,3373,98,0,0.029054254,0
George Weasley,geor,The Chamber of Secrets,0,3373,87,0,0.025793063,0
Arthur Weasley,arth,The Chamber of Secrets,1,3373,18,0.055555556,0.005336496,187.3888889
Rubeus Hagrid,hagr,The Chamber of Secrets,1,3373,136,0.007352941,0.04032019,24.80147059
Gilderoy Lockhart,lock,The Chamber of Secrets,3,3373,212,0.014150943,0.06285206,47.73113208
Ernie MacMillion,erni,The Chamber of Secrets,0,3373,26,0,0.007708272,0
Fawkes,,The Chamber of Secrets,3,3373,27,0.111111111,0.008004744,374.7777778
Cho Chang,choc,The Chamber of Secrets,0,3373,146,0,0.04328491,0
Dean Thomas,dean,The Chamber of Secrets,0,3373,15,0,0.00444708,0
Peeves,peev,The Chamber of Secrets,0,3373,22,0,0.006522384,0
Percy Weasley,perc,The Chamber of Secrets,0,3373,68,0,0.020160095,0
Seamus Finnagin,seam,The Chamber of Secrets,0,3373,17,0,0.005040024,0
Colin Creevey,coli,The Chamber of Secrets,0,3373,42,0,0.012451823,0
Greggory Goyle,goyl,The Chamber of Secrets,0,3373,33,0,0.009783575,0
Justin Finch-Fletchley,just,The Chamber of Secrets,0,3373,37,0,0.010969463,0
Madam Pince,pinc,The Chamber of Secrets,0,3373,15,0,0.00444708,0
Harry,harr,The Prisoner of Azkaban,26,4092,1662,0.015643803,0.406158358,64.01444043
Hermione Granger,herm,The Prisoner of Azkaban,4,4092,601,0.006655574,0.146871945,27.23460899
Voldemort,vold,The Prisoner of Azkaban,0,4092,40,0,0.009775171,0
Ron Wealsey,ronw,The Prisoner of Azkaban,2,4092,866,0.002309469,0.211632454,9.45034642
Severus Snape,snap,The Prisoner of Azkaban,1,4092,234,0.004273504,0.057184751,17.48717949
Albus Dumbledore,albu,The Prisoner of Azkaban,1,4092,143,0.006993007,0.034946237,28.61538462
Boggart,bogg,The Prisoner of Azkaban,13,4092,35,0.371428571,0.008553275,1519.885714
Neville Longbottom,nevi,The Prisoner of Azkaban,2,4092,94,0.021276596,0.022971652,87.06382979
Dementors,deme,The Prisoner of Azkaban,6,4092,129,0.046511628,0.031524927,190.3255814
Remus Lupin,remu,The Prisoner of Azkaban,7,4092,385,0.018181818,0.094086022,74.4
Minerva McGonagall,mcgo,The Prisoner of Azkaban,0,4092,98,0,0.023949169,0
Sirius Black,siri,The Prisoner of Azkaban,6,4092,122,0.049180328,0.029814272,201.2459016
Peter Pettigrew,worm,The Prisoner of Azkaban,3,4092,96,0.03125,0.023460411,127.875
Ginny Wealsey,ginn,The Prisoner of Azkaban,0,4092,18,0,0.004398827,0
Thorfinn Rowle,rowl,The Prisoner of Azkaban,0,4092,11,0,0.002688172,0
Whomping Willow,will,The Prisoner of Azkaban,1,4092,24,0.041666667,0.005865103,170.5
Vincent Crabbe ,crab,The Prisoner of Azkaban,0,4092,32,0,0.007820137,0
Fred Weasley,fred,The Prisoner of Azkaban,0,4092,72,0,0.017595308,0
George Weasley,geor,The Prisoner of Azkaban,0,4092,60,0,0.014662757,0
James Potter,jame,The Prisoner of Azkaban,0,4092,31,0,0.007575758,0
Filius Flitwick,flit,The Prisoner of Azkaban,0,4092,22,0,0.005376344,0
Rubeus Hagrid,hagr,The Prisoner of Azkaban,0,4092,225,0,0.054985337,0
Parvati Patil,parv,The Prisoner of Azkaban,1,4092,18,0.055555556,0.004398827,227.3333333
Buckbeak,buck,The Prisoner of Azkaban,1,4092,82,0.012195122,0.020039101,49.90243902
Cho Chang,choc,The Prisoner of Azkaban,0,4092,141,0,0.034457478,0
Dean Thomas,dean,The Prisoner of Azkaban,1,4092,17,0.058823529,0.004154448,240.7058824
Peeves,peev,The Prisoner of Azkaban,0,4092,18,0,0.004398827,0
Percy Weasley,perc,The Prisoner of Azkaban,0,4092,63,0,0.015395894,0
